document_id,title,abstract,chemical_mesh_ids,disease_mesh_ids,relation_count,chemical_mentions_count,disease_mentions_count
2312209,Myocardial infarction following sublingual administration of isosorbide dinitrate.,"A 78-year-old with healed septal necrosis suffered a recurrent myocardial infarction of the anterior wall following the administration of isosorbide dinitrate 5 mg sublingually. After detailing the course of events, we discuss the role of paradoxical coronary spasm and hypotension-mediated myocardial ischemia occurring downstream to significant coronary arterial stenosis in the pathophysiology of acute coronary insufficiency.",D007548,D054058|D007022|D013035|D009336|D023921|D009203|D017202,1,2,8
2549018,Fluoxetine-induced akathisia: clinical and theoretical implications.,"Five patients receiving fluoxetine for the treatment of obsessive compulsive disorder or major depression developed akathisia. The typical fluoxetine-induced symptoms of restlessness, constant pacing, purposeless movements of the feet and legs, and marked anxiety were indistinguishable from those of neuroleptic-induced akathisia. Three patients who had experienced neuroleptic-induced akathisia in the past reported that the symptoms of fluoxetine-induced akathisia were identical, although somewha...",D005473|D011433|D000928,D001008|D017109|D009771|D003865,1,9,11
2611118,Chronic active hepatitis associated with diclofenac sodium therapy.,"Diclofenac sodium (Voltarol, Geigy Pharmaceuticals) is a non-steroidal anti-inflammatory derivative of phenylacetic acid. Although generally well-tolerated, asymptomatic abnormalities of liver function have been recorded and, less commonly, severe hepatitis induced by diclofenac. The patient described developed chronic active hepatitis after six months therapy with diclofenac sodium which progressed despite the withdrawal of the drug, a finding not previously reported.",C025136|D004008,D056486|D006521,1,6,4
2673163,Stroke associated with cocaine use.,"We describe eight patients in whom cocaine use was related to stroke and review 39 cases from the literature. Among these 47 patients the mean (+/- SD) age was 32.5 +/- 12.1 years; 76% (34/45) were men. Stroke followed cocaine use by inhalation, intranasal, intravenous, and intramuscular routes. Intracranial aneurysms or arteriovenous malformations were present in 17 of 32 patients studied angiographically or at autopsy; cerebral vasculitis was present in two patients. Cerebral infarction occurr...",D003042,D013345|D002544|D020293|D002543|D020300|D020521|D001165|D002532,3,8,18
3107448,Glyburide-induced hepatitis.,"Drug-induced hepatotoxicity, although common, has been reported only infrequently with sulfonylureas. For glyburide, a second-generation sulfonylurea, only two brief reports of hepatotoxicity exist. Two patients with type II diabetes mellitus developed an acute hepatitis-like syndrome soon after initiation of glyburide therapy. There was no serologic evidence of viral infection, and a liver biopsy sample showed a histologic pattern consistent with drug-induced hepatitis. Both patients recovered ...",D013453|D005905,D003924|D056486|D014777,1,7,8
3341566,Systolic pressure variation is greater during hemorrhage than during sodium nitroprusside-induced hypotension in ventilated dogs.,"The systolic pressure variation (SPV), which is the difference between the maximal and minimal values of the systolic blood pressure (SBP) after one positive-pressure breath, was studied in ventilated dogs subjected to hypotension. Mean arterial pressure was decreased to 50 mm Hg for 30 minutes either by hemorrhage (HEM, n = 7) or by continuous infusion of sodium nitroprusside (SNP, n = 7). During HEM-induced hypotension the cardiac output was significantly lower and systemic vascular resistance...",D009599,D007022|D006470|D020896,1,6,14
3564823,Drug-induced arterial spasm relieved by lidocaine. Case report.,"Following major intracranial surgery in a 35-year-old man, sodium pentothal was intravenously infused to minimize cerebral ischaemia. Intense vasospasm with threatened gangrene arose in the arm used for the infusion. Since the cranial condition precluded use of more usual methods, lidocaine was given intra-arterially, with careful cardiovascular monitoring, to counteract the vasospasm. The treatment was rapidly successful.",D013874|D008012,D002545|D013035|D020301|D005734,1,3,5
3676049,Cerebral blood flow and metabolism during isoflurane-induced hypotension in patients subjected to surgery for cerebral aneurysms.,"Cerebral blood flow and cerebral metabolic rate for oxygen were measured during isoflurane-induced hypotension in 10 patients subjected to craniotomy for clipping of a cerebral aneurysm. Flow and metabolism were measured 5-13 days after the subarachnoid haemorrhage by a modification of the classical Kety-Schmidt technique using xenon-133 i.v. Anaesthesia was maintained with an inspired isoflurane concentration of 0.75% (plus 67% nitrous oxide in oxygen), during which CBF and CMRO2 were 34.3 +/- ...",D008628|D009609|D010100|D014978|D007530,D007022|D000783|D013345|D002532,1,10,9
3719553,Allergic reaction to 5-fluorouracil infusion.,"An allergic reaction consisting of angioneurotic edema secondary to continuous infusion 5-fluorouracil occurred in a patient with recurrent carcinoma of the oral cavity, cirrhosis, and cisplatin-induced impaired renal function. This reaction occurred during the sixth and seventh courses of infusional chemotherapy. Oral diphenhydramine and prednisone were ineffective in preventing the recurrence of the allergic reaction. Discontinuance of effective chemotherapy in this patient during partial remi...",D011241|D004155|D005472|D002945,D005355|D007674|D009062|D000799|D004342,1,5,7
4008111,Amiodarone-induced sinoatrial block.,"We observed sinoatrial block due to chronic amiodarone administration in a 5-year-old boy with primary cardiomyopathy, Wolff-Parkinson-White syndrome and supraventricular tachycardia. Reduction in the dosage of amiodarone resulted in the disappearance of the sinoatrial block and the persistence of asymptomatic sinus bradycardia.",D000638,D009202|D012848|D014927|D013617|D012804,1,3,7
6133211,Possible teratogenicity of sulphasalazine.,"Three infants, born of two mothers with inflammatory bowel disease who received treatment with sulphasalazine throughout pregnancy, were found to have major congenital anomalies. In the singleton pregnancy, the mother had ulcerative colitis, and the infant, a male, had coarctation of the aorta and a ventricular septal defect. In the twin pregnancy, the mother had Crohn's disease. The first twin, a female, had a left Potter-type IIa polycystic kidney and a rudimentary left uterine cornu. The seco...",D012460,D015212|D006345|D003093|D007690|D001017|D000013|D003424|D003025,4,3,12
6503301,Veno-occlusive liver disease after dacarbazine therapy (DTIC) for melanoma.,A case of veno-occlusive disease of the liver with fatal outcome after dacarbazine (DTIC) therapy for melanoma is reported. There was a fulminant clinical course from start of symptoms until death. At autopsy the liver was enlarged and firm with signs of venous congestion. Small- and medium-sized hepatic veins were blocked by thrombosis. Eosinophilic infiltrations were found around the vessels. Published cases from the literature are reviewed and pertinent features discussed.,D003606,D006940|D008545|D006504|D003643|D013927,1,4,7
6727060,A case of tardive dyskinesia caused by metoclopramide.,"Abnormal involuntary movements appeared in the mouth, tongue, neck and abdomen of a 64-year-old male patient after he took metoclopramide for gastrointestinal disorder in a regimen of 30 mg per day for a total of about 260 days. The symptoms exacerbated to a maximum in a month. When the metoclopramide administration was discontinued, the abnormal movements gradually improved to a considerable extent. Attention to the possible induction of specific tardive dyskinesia is called for in the use of t...",D008787,D005767|D004409,1,3,5
7083920,Further observations on the electrophysiologic effects of oral amiodarone therapy.,"A case is presented of a reversible intra-Hisian block occurring under amiodarone treatment for atrial tachycardia in a patient without clear intraventricular conduction abnormalities. His bundle recordings showed an atrial tachycardia with intermittent exit block and greatly prolonged BH and HV intervals (40 and 100 msec, respectively). Thirty days after amiodarone discontinuation, His bundle electrograms showed atrial flutter without intra-Hisian or infra-Hisian delay. Amiodarone should be use...",D000638,D006345|D001282|D006327|D013617,1,4,5
7269015,Busulfan-induced hemorrhagic cystitis.,"A case of a busulfan-induced hemorrhage cystitis is reported. Spontaneous resolution occurred following cessation of the drug. The similarity between the histologic appearances of busulfan cystitis and both radiation and cyclophosphamide-induced cystitis is discussed and the world literature reviewed. In view of the known tendency of busulfan to induce cellular atypia and carcinoma in other sites, periodic urinary cytology is suggested in patients on long-term therapy.",D003520|D002066,D006470|D003556|D006470|D002277|D003556,2,5,9
7352670,Rebound hypertensive after sodium nitroprusside prevented by saralasin in rats.,"The role of the renin--angiotensin system in the maintenance of blood pressure during halothane anesthesia and sodium nitroprusside (SNP)-induced hypotension was evaluated. Control rats received halothane anesthesia (1 MAC) for one hour, followed by SNP infusion, 40 microgram/kg/min, for 30 min, followed by a 30-min recovery period. A second group of rats was treated identically and, in addition, received an infusion of saralasin (a competitive inhibitor of angiotensin II) throughout the experim...",D000804|D012504|D009599|D006221|D000809,D007022|D006973,2,22,4
7504976,Toxic hepatitis induced by antithyroid drugs: four cases including one with cross-reactivity between carbimazole and benzylthiouracil.,OBJECTIVE: This study was conducted to assess the occurrence of hepatic adverse effects encountered with antithyroid drugs. METHODS: Retrospective review of medical records of 236 patients with hyperthyroidism admitted in our department (in- or out-patients) from 1986 to 1992. RESULTS: Four patients (1.7%) were identified with toxic hepatitis which could reasonably be attributed to the use of antithyroid agent. Two patients had a cholestatic hepatitis induced by carbimazole (N  omercazole). Two ...,C019269|D002231,D056486|D002779|D056486|D006980|D002779|D009503,2,8,14
7628595,Study of the role of vitamin B12 and folinic acid supplementation in preventing hematologic toxicity of zidovudine.,"A prospective, randomized study was conducted to evaluate the role of vitamin B12 and folinic acid supplementation in preventing zidovudine (ZDV)-induced bone marrow suppression. Seventy-five human immunodeficiency virus (HIV)-infected patients with CD4+ cell counts < 500/mm3 were randomized to receive either ZDV (500 mg daily) alone (group I, n = 38) or in combination with folinic acid (15 mg daily) and intramascular vitamin B12 (1000 micrograms monthly) (group II, n = 37). Finally, 15 patients...",D005492|D015215|D014805|D002955,D003643|D015658|D064420|D001855,1,18,7
7858459,Acute confusion induced by a high-dose infusion of 5-fluorouracil and folinic acid.,"A 61-year-old man was treated with combination chemotherapy incorporating cisplatinum, etoposide, high-dose 5-fluorouracil (2,250 mg/m2/24 hours) and folinic acid for an inoperable gastric adenocarcinoma. He developed acute neurologic symptoms of mental confusion, disorientation and irritability, and then lapsed into a deep coma, lasting for approximately 40 hours during the first dose (day 2) of 5-fluorouracil and folinic acid infusion. This complication reappeared on day 25 during the second d...",D005472|D013831|C007744|C007419|D002955|D005047|D005463|D002945,D013274|D003221|D009369|D003128|D020258|D001523,4,19,9
7862923,Effect of switching carbamazepine to oxcarbazepine on the plasma levels of neuroleptics. A case report.,"Carbamazepine was switched to its 10-keto analogue oxcarbazepine among six difficult-to-treat schizophrenic or organic psychotic patients using concomitantly haloperidol, chlorpromazine or clozapine. This change resulted within 2-4 weeks in the 50-200% increase in the plasma levels of these neuroleptics and the appearance of extrapyramidal symptoms. None of the patients showed any clinical deteriotation during the following 3-6 months. The results of this case report support the idea that in con...",D003024|D002220|D002746|C036006|D006220,D012559|D001480|D019965,4,9,3
7919560,Erythema multiforme and hypersensitivity myocarditis caused by ampicillin.,OBJECTIVE: To report a case of erythema multiforme and hypersensitivity myocarditis caused by ampicillin. CASE SUMMARY: A 13-year-old boy was treated with ampicillin and gentamicin because of suspected septicemia. Medications were discontinued when erythema multiforme and congestive heart failure caused by myocarditis occurred. The patient was treated with methylprednisolone and gradually improved. Macrophage-migration inhibition (MIF) test with ampicillin was positive. DISCUSSION: After most in...,D010406|D000667|D008775|D005839,D018805|D004892|D007239|D009205|D006333|D004342,3,9,14
8092427,Immediate allergic reactions to amoxicillin.,"A large group of patients with suspected allergic reactions to beta-lactam antibiotics was evaluated. A detailed clinical history, together with skin tests, RAST (radioallergosorbent test), and controlled challenge tests, was used to establish whether patients allergic to beta-lactam antibiotics had selective immediate allergic responses to amoxicillin (AX) or were cross-reacting with other penicillin derivatives. Skin tests were performed with benzylpenicilloyl-poly-L-lysine (BPO-PLL), benzylpe...",D010406|D010400|D000667|D000658|D047090,D007645|D000707|D000799|D014581|D004342,3,36,12
8638206,Persistent paralysis after prolonged use of atracurium in the absence of corticosteroids.,"Neuromuscular blocking agents (NMBAs) are often used for patients requiring prolonged mechanical ventilation. Reports of persistent paralysis after the discontinuance of these drugs have most often involved aminosteroid-based NMBAs such as vecuronium bromide, especially when used in conjunction with corticosteroids. Atracurium besylate, a short-acting benzylisoquinolinium NMBA that is eliminated independently of renal or hepatic function, has also been associated with persistent paralysis, but o...",D014673|D001279,D010243,2,5,4
8669433,Habitual use of acetaminophen as a risk factor for chronic renal failure: a comparison with phenacetin.,"Six epidemiologic studies in the United States and Europe indicate that habitual use of phenacetin is associated with the development of chronic renal failure and end-stage renal disease (ESRD), with a relative risk in the range of 4 to 19. As a result of these and other studies, phenacetin has now been withdrawn from the market in most countries. However, three case control studies, one each in North Carolina, northern Maryland, and West Berlin, Germany, showed that habitual use of acetaminophe...",D000082|D010615,D007676|D007674,1,11,9
8690168,Reduction of heparan sulphate-associated anionic sites in the glomerular basement membrane of rats with streptozotocin-induced diabetic nephropathy.,"Heparan sulphate-associated anionic sites in the glomerular basement membrane were studied in rats 8 months after induction of diabetes by streptozotocin and in age- adn sex-matched control rats, employing the cationic dye cuprolinic blue. Morphometric analysis at the ultrastructural level was performed using a computerized image processor. The heparan sulphate specificity of the cuprolinic blue staining was demonstrated by glycosaminoglycan-degrading enzymes, showing that pretreatment of the se...",D013311|D006497|C015445|D006025,D003928|D003920|D000419,1,11,7
8739323,Effect of some anticancer drugs and combined chemotherapy on renal toxicity.,"The nephrotoxic action of anticancer drugs such as nitrogranulogen (NG), methotrexate (MTX), 5-fluorouracil (5-FU) and cyclophosphamide (CY) administered alone or in combination [MTX + 5-FU + CY (CMF)] was evaluated in experiments on Wistar rats. After drug administration, creatinine concentrations in the plasma and in the urine of the rats were determined, as well as creatinine clearance. Histopathologic evaluation of the kidneys was also performed. After MTX administration a significant increa...",D005472|D003404|D008727|D008466|D003520,D006470|D003556|D006470|D003556|D007674,2,36,6
8752018,Lithium-associated cognitive and functional deficits reduced by a switch to divalproex sodium: a case series.,"BACKGROUND: Lithium remains a first-line treatment for the acute and maintenance treatment of bipolar disorder. Although much has been written about the management of the more common adverse effects of lithium, such as polyuria and tremor, more subtle lithium side effects such as cognitive deficits, loss of creativity, and functional impairments remain understudied. This report summarizes our experience in switching bipolar patients from lithium to divalproex sodium to alleviate such cognitive a...",D008094|D014635,D003072|D014202|D001714|D011141,1,12,15
9390208,Treatment of previously treated metastatic breast cancer by mitoxantrone and 48-hour continuous infusion of high-dose 5-FU and leucovorin (MFL): low palliative benefit and high treatment-related toxicity.,"For previously treated advanced breast cancer, there is no standard second-line therapy. Combination chemotherapy with mitoxantrone, high-dose 5-fluorouracil (5-FU) and leucovorin (MFL regimen) had been reported as an effective and well tolerated regimen. From October 1993 to November 1995, we treated 13 patients with previously chemotherapy-treated metastatic breast cancer by mitoxantrone, 12 mg/m2, on day 1 and continuous infusion of 5-FU, 3000 mg/m2, together with leucovorin, 300 mg/m2, for 4...",D005472|D008942|C085788|D002955|D018943,D006331|D001943|D066126|D007970|D064420,2,16,11
9406968,Upregulation of the expression of vasopressin gene in the paraventricular and supraoptic nuclei of the lithium-induced diabetes insipidus rat.,"The expression of arginine vasopressin (AVP) gene in the paraventricular (PVN) and supraoptic nuclei (SON) was investigated in rats with lithium (Li)-induced polyuria, using in situ hybridization histochemistry and radioimmunoassay. The male Wistar rats consuming a diet that contained LiCl (60 mmol/kg) for 4 weeks developed marked polyuria. The Li-treated rats produced a large volume of hypotonic urine with low ionic concentrations. Plasma sodium concentrations were found to be slightly increase...",D008094|D014667|D001127|D018021|D012964,D003919|D003681|D011141,1,16,5
9587734,Suxamethonium-induced cardiac arrest and death following 5 days of immobilization.,"The present report describes a case of cardiac arrest and subsequent death as a result of hyperkalaemia following the use of suxamethonium in a 23-year-old Malawian woman. Five days after the onset of the symptoms of meningitis, the patient aspirated stomach contents and needed endotracheal intubation. Forty seconds after injection of suxamethonium, bradycardia and cardiac arrest occurred. Attempts to resuscitate the patient were not successful. The serum level of potassium was observed to be 8....",D013390|D011188,D008581|D006323|D001919|D003643|D006947|D004342,4,6,11
9698967,An unusual toxic reaction to axillary block by mepivacaine with adrenaline.,"An increase in blood pressure, accompanied by atrial fibrillation, agitation, incomprehensible shouts and loss of consciousness, was observed in an elderly, ASA classification group II, cardiovascularly medicated male, 12 min after performance of axillary block with mepivacaine 850 mg containing adrenaline 0.225 mg, for correction of Dupuytren's contracture. After intravenous administration of labetalol, metoprolol and midazolam the patient's condition improved, and 15 min later he woke up. The ...",D004837|D008619|D008790|D008874|D007741,D004387|D001281|D006973|D019954|D014474|D011595,4,9,7
9855119,Clinical and histopathologic examination of renal allografts treated with tacrolimus (FK506) for at least one year.,BACKGROUND: We clinically and pathologically analyzed renal allografts from 1 9 renal transplant patients treated with tacrolimus (FK506) for more than 1 year. METHODS: Twenty-six renal allograft biopsy specimens from 1 9 renal transplant patients who underwent transplantations between 1991 and 1993 were evaluated. Thirteen biopsies were performed from stable functioning renal allografts with informed consent (nonepisode biopsy) and the other 13 were from dysfunctional renal allografts with a cl...,D016559|D003404,D005355|D005923|D007674|D005922,1,13,11
9869257,Memory facilitation and stimulation of endogenous nerve growth factor synthesis by the acetylcholine releaser PG-9.,"The effects of PG-9 (3alpha-tropyl 2-(p-bromophenyl)propionate), the acetylcholine releaser, on memory processes and nerve growth factor (NGF) synthesis were evaluated. In the mouse passive-avoidance test, PG-9 (10-30 mg/kg, i.p.), administered 20 min before the training session, prevented amnesia induced by both the non selective antimuscarinic drug scopolamine and the M1-selective antagonist S-(-)-ET-126. In the same experimental conditions, PG-9 (5-20 microg per mouse, i.c.v.) was also able t...",D000109|D012601|C087567|C098725,D000647,2,15,2
10342929,Angioedema due to ACE inhibitors: common and inadequately diagnosed.,The estimated incidence of angioedema during angiotensin-converting enzyme (ACE) inhibitor treatment is between 1 and 7 per thousand patients. This potentially serious adverse effect is often preceded by minor manifestations that may serve as a warning.,D000806,D000799,1,2,2
10457883,Recurarization in the recovery room.,"A case of recurarization in the recovery room is reported. Accumulation of atracurium in the intravenous line led to recurarization after flushing the line in the recovery room. A respiratory arrest with severe desaturation and bradycardia occurred. Circumstances leading to this event and the mechanisms enabling a neuromuscular blockade to occur, following the administration of a small dose of relaxant, are discussed.",D001279,D020879|D012131|D001049|D001919,3,1,4
10739826,Recurrent use of newer oral contraceptives and the risk of venous thromboembolism.,"The epidemiological studies that assessed the risk of venous thromboembolism (VTE) associated with newer oral contraceptives (OC) did not distinguish between patterns of OC use, namely first-time users, repeaters and switchers. Data from a Transnational case-control study were used to assess the risk of VTE for the latter patterns of use, while accounting for duration of use. Over the period 1993-1996, 551 cases of VTE were identified in Germany and the UK along with 2066 controls. Totals of 128...",D003276,D054556,1,6,7
10791295,Development of apomorphine-induced aggressive behavior: comparison of adult male and female Wistar rats.,"The development of apomorphine-induced (1.0 mg/kg s.c. once daily) aggressive behavior of adult male and female Wistar rats obtained from the same breeder was studied in two consecutive sets. In male animals, repeated apomorphine treatment induced a gradual development of aggressive behavior as evidenced by the increased intensity of aggressiveness and shortened latency before the first attack toward the opponent. In female rats, only a weak tendency toward aggressiveness was found. In conclusio...",D001058,D010554,1,4,6
11147747,Serotonergic antidepressants and urinary incontinence.,"Many new serotonergic antidepressants have been introduced over the past decade. Although urinary incontinence is listed as one side effect of these drugs in their package inserts there is only one report in the literature. This concerns 2 male patients who experienced incontinence while taking venlafaxine. In the present paper the authors describe 2 female patients who developed incontinence secondary to the selective serotonin reuptake inhibitors paroxetine and sertraline, as well as a third w...",C047426|D016651|D018490|D020280|D017374|D012701,D014549,5,9,6
11198499,Hypotension following the initiation of tizanidine in a patient treated with an angiotensin converting enzyme inhibitor for chronic hypertension.,"Centrally acting alpha-2 adrenergic agonists are one of several pharmacologic agents used in the treatment of spasticity related to disorders of the central nervous system. In addition to their effects on spasticity, certain adverse cardiorespiratory effects have been reported. Adults chronically treated with angiotensin converting enzyme inhibitors may have a limited ability to respond to hypotension when the sympathetic response is simultaneously blocked. The authors present a 10-year-old boy ...",C023754|D000809|D017706,D007022|D006973|D009128|D002493,2,7,11
11391224,Peritubular capillary basement membrane reduplication in allografts and native kidney disease: a clinicopathologic study of 278 consecutive renal specimens.,"BACKGROUND: An association has been found between transplant glomerulopathy (TG) and reduplication of peritubular capillary basement membranes (PTCR). Although such an association is of practical and theoretical importance, only one prospective study has tried to confirm it. METHODS: We examined 278 consecutive renal specimens (from 135 transplants and 143 native kidneys) for ultrastructural evidence of PTCR. In addition to renal allografts with TG, we also examined grafts with acute rejection, ...",D003042,D057049|D007683|D007674|D005921|D011695|D007154|D051436|D011507|D006974|D058186|D051437|D009395|D014947|D008181,1,1,28
11426838,Conformationally restricted analogs of BD1008 and an antisense oligodeoxynucleotide targeting sigma1 receptors produce anti-cocaine effects in mice.,"Cocaine's ability to interact with sigma receptors suggests that these proteins mediate some of its behavioral effects. Therefore, three novel sigma receptor ligands with antagonist activity were evaluated in Swiss Webster mice: BD1018 (3S-1-[2-(3,4-dichlorophenyl)ethyl]-1,4-diazabicyclo[4.3.0]nonane), BD1063 (1-[2-(3,4-dichlorophenyl)ethyl]-4-methylpiperazine), and LR132 (1R,2S-(+)-cis-N-[2-(3,4-dichlorophenyl)ethyl]-2-(1-pyrrolidinyl)cyclohexylamine). Competition binding assays demonstrated th...",D009838|D016202|C050232|D004298|D003042|D005680|C085527|C093337,D064420|D012640,1,31,3
11569530,"Pharmacokinetic/pharmacodynamic assessment of the effects of E4031, cisapride, terfenadine and terodiline on monophasic action potential duration in dog.","1. Torsades de pointes (TDP) is a potentially fatal ventricular tachycardia associated with increases in QT interval and monophasic action potential duration (MAPD). TDP is a side-effect that has led to withdrawal of several drugs from the market (e.g. terfenadine and terodiline). 2. The potential of compounds to cause TDP was evaluated by monitoring their effects on MAPD in dog. Four compounds known to increase QT interval and cause TDP were investigated: terfenadine, terodiline, cisapride and ...",C063968|C010637|D016593|D020117,D016171|D017180,3,17,8
11587867,Fatal myeloencephalopathy due to accidental intrathecal vincristin administration: a report of two cases.,"We report on two fatal cases of accidental intrathecal vincristine instillation in a 5-year old girl with recurrent acute lymphoblastic leucemia and a 57-year old man with lymphoblastic lymphoma. The girl died seven days, the man four weeks after intrathecal injection of vincristine. Clinically, the onset was characterized by the signs of opistothonus, sensory and motor dysfunction and ascending paralysis. Histological and immunohistochemical investigations (HE-LFB, CD-68, Neurofilament) reveale...",D014750,D003711|D001927|D003711|D009410|D020258|D020258|D020258|D010243|D054198|D009410|D020258,3,5,12
11679859,"Intravenous administration of prochlorperazine by 15-minute infusion versus 2-minute bolus does not affect the incidence of akathisia: a prospective, randomized, controlled trial.","STUDY OBJECTIVE: We sought to compare the rate of akathisia after administration of intravenous prochlorperazine as a 2-minute bolus or 15-minute infusion. METHODS: We conducted a prospective, randomized, double-blind study in the emergency department of a central-city teaching hospital. Patients aged 18 years or older treated with prochlorperazine for headache, nausea, or vomiting were eligible for inclusion. Study participants were randomized to receive 10 mg of prochlorperazine administered i...",D011346,D014839|D011595|D017109|D009325|D006261,1,6,19
12041669,Antithymocyte globulin in the treatment of D-penicillamine-induced aplastic anemia.,"A patient who received antithymocyte globulin therapy for aplastic anemia due to D-penicillamine therapy is described. Bone marrow recovery and peripheral blood recovery were complete 1 month and 3 months, respectively, after treatment, and blood transfusion or other therapies were not necessary in a follow-up period of more than 2 years. Use of antithymocyte globulin may be the optimal treatment of D-penicillamine-induced aplastic anemia.",D000961|D010396,D000741,1,6,3
12198388,The relationship between hippocampal acetylcholine release and cholinergic convulsant sensitivity in withdrawal seizure-prone and withdrawal seizure-resistant selected mouse lines.,"BACKGROUND: The septo-hippocampal cholinergic pathway has been implicated in epileptogenesis, and genetic factors influence the response to cholinergic agents, but limited data are available on cholinergic involvement in alcohol withdrawal severity. Thus, the relationship between cholinergic activity and responsiveness and alcohol withdrawal was investigated in a genetic animal model of ethanol withdrawal severity. METHODS: Cholinergic convulsant sensitivity was examined in alcohol-na  ve Withdr...",D000109|D009388|C522374|D000431|D002217|D011188|D009538,D014202|D012640,3,25,9
12574103,Prenatal dexamethasone programs hypertension and renal injury in the rat.,"Dexamethasone is frequently administered to the developing fetus to accelerate pulmonary development. The purpose of the present study was to determine if prenatal dexamethasone programmed a progressive increase in blood pressure and renal injury in rats. Pregnant rats were given either vehicle or 2 daily intraperitoneal injections of dexamethasone (0.2 mg/kg body weight) on gestational days 11 and 12, 13 and 14, 15 and 16, 17 and 18, or 19 and 20. Offspring of rats administered dexamethasone on...",D003907,D005921|D006973|D007674,2,8,15
12615818,The risk of venous thromboembolism in women prescribed cyproterone acetate in combination with ethinyl estradiol: a nested cohort analysis and case-control study.,BACKGROUND: Cyproterone acetate combined with ethinyl estradiol (CPA/EE) is licensed in the UK for the treatment of women with acne and hirsutism and is also a treatment option for polycystic ovary syndrome (PCOS). Previous studies have demonstrated an increased risk of venous thromboembolism (VTE) associated with CPA/EE compared with conventional combined oral contraceptives (COCs). We believe the results of those studies may have been affected by residual confounding. METHODS: Using the Genera...,D004997|D003276|D017373,D011085|D000152|D006628|D054556,2,17,15
12789195,Pseudoacromegaly induced by the long-term use of minoxidil.,"Acromegaly is an endocrine disorder caused by chronic excessive growth hormone secretion from the anterior pituitary gland. Significant disfiguring changes occur as a result of bone, cartilage, and soft tissue hypertrophy, including the thickening of the skin, coarsening of facial features, and cutis verticis gyrata. Pseudoacromegaly, on the other hand, is the presence of similar acromegaloid features in the absence of elevated growth hormone or insulin-like growth factor levels. We present a pa...",D008914,D006984|C535610|D004700|D000172|D004194,1,3,8
12820454,Combined androgen blockade-induced anemia in prostate cancer patients without bone involvement.,"BACKGROUND: To determine the onset and extent of combined androgen blockade (CAB)-induced anemia in prostate cancer patients without bone involvement. PATIENTS AND METHODS: Forty-two patients with biopsy-proven prostatic adenocarcinoma [26 with stage C (T3N0M0) and 16 with stage D1 (T3N1M0)] were included in this study. All patients received CAB [leuprolide acetate (LHRH-A) 3.75 mg, intramuscularly, every 28 days plus 250 mg flutamide, tid, per Os] and were evaluated for anemia by physical exami...",D016729|D013739|D005485,D000740|D011471|D000230,2,4,16
14657095,Reversible dilated cardiomyopathy related to amphotericin B therapy.,We describe a patient who developed dilated cardiomyopathy and clinical congestive heart failure after 2 months of therapy with amphotericin B (AmB) for disseminated coccidioidomycosis. His echocardiographic abnormalities and heart failure resolved after posaconazole was substituted for AmB. It is important to recognize the rare and potentially reversible toxicity of AmB.,C101425|D000666,D002311|D064420|D003047|D006333,2,6,6
14765563,Risks of the consumption of beverages containing quinine.,"Although the United States Food and Drug Administration banned its use for nocturnal leg cramps due to lack of safety and efficacy, quinine is widely available in beverages including tonic water and bitter lemon. Numerous anecdotal reports suggest that products containing quinine may produce neurological complications, including confusion, altered mental status, seizures, and coma, particularly in older women. Psychologists need to inquire about consumption of quinine-containing beverages as par...",D011803,D020922|D003221|D012640|D003128|D002493,3,4,5
15036754,Organophosphate-induced convulsions and prevention of neuropathological damages.,"Such organophosphorus (OP) compounds as diisopropylfluorophosphate (DFP), sarin and soman are potent inhibitors of acetylcholinesterases (AChEs) and butyrylcholinesterases (BChEs). The acute toxicity of OPs is the result of their irreversible binding with AChEs in the central nervous system (CNS), which elevates acetylcholine (ACh) levels. The protective action of subcutaneously (SC) administered antidotes or their combinations in DFP (2.0 mg/kg BW) intoxication was studied in 9-10-weeks-old Han...",D000109|C048599|D001285|D012524|D016202|D016291|D000241|D012999|D010755|D003975|D007531|D011220,D011041|D064420|D012640|D004194,1,40,8
15145918,Differential modulation by estrogen of alpha2-adrenergic and I1-imidazoline receptor-mediated hypotension in female rats.,"We have recently shown that estrogen negatively modulates the hypotensive effect of clonidine (mixed alpha2-/I1-receptor agonist) in female rats and implicates the cardiovascular autonomic control in this interaction. The present study investigated whether this effect of estrogen involves interaction with alpha2- and/or I1-receptors. Changes evoked by a single intraperitoneal injection of rilmenidine (600 microg/kg) or alpha-methyldopa (100 mg/kg), selective I1- and alpha2-receptor agonists, res...",D004967|D048288|D004958|D008750|C032302|D003000,D007022|D001523,2,19,8
15233872,Cardioprotective effect of tincture of Crataegus on isoproterenol-induced myocardial infarction in rats.,"Tincture of Crataegus (TCR), an alcoholic extract of the berries of hawthorn (Crataegus oxycantha), is used in herbal and homeopathic medicine. The present study was done to investigate the protective effect of TCR on experimentally induced myocardial infarction in rats. Pretreatment of TCR, at a dose of 0.5 mL/100 g bodyweight per day, orally for 30 days, prevented the increase in lipid peroxidation and activity of marker enzymes observed in isoproterenol-induced rats (85 mg kg(-1) s. c. for 2 ...",D007545|D000244|D010100|C007145,D009203,1,17,2
